u v
5.030060120240480437e-01 4.219078536074361008e-01
5.021758979850838855e-01 4.228456913827655095e-01
5.010020040080159776e-01 4.241792586935242415e-01
5.004084058312910921e-01 4.248496993987975756e-01
4.989979959919839114e-01 4.264517498233126314e-01
4.986420073715055468e-01 4.268537074148296417e-01
4.969939879759518453e-01 4.287254151714594563e-01
4.968767841257578644e-01 4.288577154308617079e-01
4.951222022561800884e-01 4.308617234468937740e-01
4.949899799599197792e-01 4.310144732151628411e-01
4.933778492620307654e-01 4.328657314629258401e-01
4.929859719438877130e-01 4.333184417690451040e-01
4.916348130744284117e-01 4.348697394789578508e-01
4.909819639278555914e-01 4.356239268409253240e-01
4.898931916731461556e-01 4.368737474949899169e-01
4.889779559118235808e-01 4.379310454116852602e-01
4.881530878210615376e-01 4.388777555110219830e-01
4.869739478957915702e-01 4.402399202151962010e-01
4.864146093796584136e-01 4.408817635270540491e-01
4.849699398797595040e-01 4.425506801251917754e-01
4.846778696496828465e-01 4.428857715430861153e-01
4.829659318637274379e-01 4.448634605734612668e-01
4.829429877393216497e-01 4.448897795591181814e-01
4.812297662944555188e-01 4.468937875751503030e-01
4.809619238476953162e-01 4.472096165185674987e-01
4.795203281595102340e-01 4.488977955911823137e-01
4.789579158316632501e-01 4.495610740045357656e-01
4.778129772718470170e-01 4.509018036072144353e-01
4.769539078156312395e-01 4.519151136483869902e-01
4.761078578153074004e-01 4.529058116232464459e-01
4.749498997995991179e-01 4.542719183533211469e-01
4.744051216741492771e-01 4.549098196392785121e-01
4.729458917835671072e-01 4.566316810486360511e-01
4.727049289832072065e-01 4.569138276553105782e-01
4.710129033758218009e-01 4.589178356713425888e-01
4.709418837675350411e-01 4.590037134881668202e-01
4.693437681213314949e-01 4.609218436873746549e-01
4.689378757515029750e-01 4.614128348086983800e-01
4.676774786831628949e-01 4.629258517034067211e-01
4.669338677354708533e-01 4.638257155964566891e-01
4.660142290799621501e-01 4.649298597194388982e-01
4.649298597194388427e-01 4.662426193654606310e-01
4.643542242701758083e-01 4.669338677354708533e-01
4.629258517034067766e-01 4.686638251818540657e-01
4.626976809755331543e-01 4.689378757515029195e-01
4.610555145385943909e-01 4.709418837675350411e-01
4.609218436873747105e-01 4.711085979785884503e-01
4.594369804614860664e-01 4.729458917835671072e-01
4.589178356713426443e-01 4.735937788142979832e-01
4.578222808644127895e-01 4.749498997995992289e-01
4.569138276553106337e-01 4.760843924162472263e-01
4.562116769480298872e-01 4.769539078156312395e-01
4.549098196392785121e-01 4.785808228858429714e-01
4.546054453748808455e-01 4.789579158316633056e-01
4.530128275259595605e-01 4.809619238476953718e-01
4.529058116232465014e-01 4.811004279621472479e-01
4.514527829446579599e-01 4.829659318637274379e-01
4.509018036072143243e-01 4.836796730692761170e-01
4.498974778163844501e-01 4.849699398797595040e-01
4.488977955911823692e-01 4.862661574211007975e-01
4.483472405907549807e-01 4.869739478957915702e-01
4.468937875751502475e-01 4.888604081755561492e-01
4.468024195468197624e-01 4.889779559118235808e-01
4.452989326904895351e-01 4.909819639278557024e-01
